0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.6807,0.4703,0.2216,C,0,0,0,0,0,0,0,0,0,0,0,0
3.0727,-0.0720,0.1403,C,0,0,0,0,0,0,0,0,0,0,0,0
4.1171,0.7423,0.2404,N,0,0,0,0,0,0,0,0,0,0,0,0
5.2384,-0.0411,0.1054,N,0,0,0,0,0,0,0,0,0,0,0,0
6.4638,0.5958,0.1716,C,0,0,0,0,0,0,0,0,0,0,0,0
7.6291,-0.1185,0.0892,N,0,0,0,0,0,0,0,0,0,0,0,0
8.8172,0.4461,0.1458,C,0,0,0,0,0,0,0,0,0,0,0,0
8.9177,1.7635,0.2920,N,0,0,0,0,0,0,0,0,0,0,0,0
7.8483,2.6039,0.3927,C,0,0,0,0,0,0,0,0,0,0,0,0
7.7490,3.9338,0.5407,N,0,0,0,0,0,0,0,0,0,0,0,0
6.4395,4.1883,0.5765,C,0,0,0,0,0,0,0,0,0,0,0,0
5.6923,3.0462,0.4543,N,0,0,0,0,0,0,0,0,0,0,0,0
4.6860,2.8924,0.4462,H,0,0,0,0,0,0,0,0,0,0,0,0
6.5672,2.0054,0.3331,C,0,0,0,0,0,0,0,0,0,0,0,0
4.9231,-1.3713,-0.0882,C,0,0,0,0,0,0,0,0,0,0,0,0
5.9186,-2.4632,-0.2988,C,0,0,0,0,0,0,0,0,0,0,0,0
3.5179,-1.4073,-0.0658,C,0,0,0,0,0,0,0,0,0,0,0,0
2.4842,-2.8304,-0.2271,S,0,0,1,0,0,0,0,0,0,0,0,0
2.3386,-3.5391,1.2906,N,0,0,0,0,0,0,0,0,0,0,0,0
1.1419,-2.3532,-0.5545,O,0,0,0,0,0,0,0,0,0,0,0,0
3.1833,-3.8246,-1.0414,O,0,0,0,0,0,0,0,0,0,0,0,0
1.7170,1.5538,0.4012,H,0,0,0,0,0,0,0,0,0,0,0,0
1.1043,-0.0054,1.0298,H,0,0,0,0,0,0,0,0,0,0,0,0
1.1278,0.2686,-0.7072,H,0,0,0,0,0,0,0,0,0,0,0,0
9.7256,-0.1572,0.0742,H,0,0,0,0,0,0,0,0,0,0,0,0
5.9949,5.1746,0.6885,H,0,0,0,0,0,0,0,0,0,0,0,0
6.5865,-2.2400,-1.1445,H,0,0,0,0,0,0,0,0,0,0,0,0
5.3815,-3.3931,-0.5225,H,0,0,0,0,0,0,0,0,0,0,0,0
6.5625,-2.6099,0.5831,H,0,0,0,0,0,0,0,0,0,0,0,0
1.8703,-2.9387,1.9673,H,0,0,0,0,0,0,0,0,0,0,0,0
3.2153,-3.9233,1.6391,H,0,0,0,0,0,0,0,0,0,0,0,0
