0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.9227,3.1553,-3.3697,C,0,0,0,0,0,0,0,0,0,0,0,0
0.1099,2.1377,-2.9140,C,0,0,0,0,0,0,0,0,0,0,0,0
1.4491,2.5603,-3.2138,O,0,0,0,0,0,0,0,0,0,0,0,0
2.0476,3.3747,-2.3089,C,0,0,0,0,0,0,0,0,0,0,0,0
1.5176,3.7383,-1.2774,O,0,0,0,0,0,0,0,0,0,0,0,0
3.3097,3.7305,-2.7027,N,0,0,0,0,0,0,0,0,0,0,0,0
3.9706,3.2640,-3.9167,C,0,0,0,0,0,0,0,0,0,0,0,0
4.5537,4.4536,-4.6870,C,0,0,0,0,0,0,0,0,0,0,0,0
5.3895,5.3108,-3.8353,N,0,0,0,0,0,0,0,0,0,0,0,0
7.0271,4.9320,-3.7150,S,0,0,1,0,0,0,0,0,0,0,0,0
7.3290,4.1796,-2.4918,O,0,0,0,0,0,0,0,0,0,0,0,0
7.3961,4.3604,-5.0165,O,0,0,0,0,0,0,0,0,0,0,0,0
7.6601,6.4697,-3.4873,N,0,0,0,0,0,0,0,0,0,0,0,0
8.8524,6.5962,-2.6324,C,0,0,0,0,0,0,0,0,0,0,0,0
10.1508,6.4264,-3.4264,C,0,0,0,0,0,0,0,0,0,0,0,0
10.1863,7.3701,-4.6339,C,0,0,0,0,0,0,0,0,0,0,0,0
8.9307,7.2117,-5.5185,C,0,0,2,0,0,0,0,0,0,0,0,0
8.9225,8.2748,-6.6169,C,0,0,0,0,0,0,0,0,0,0,0,0
8.7209,9.4555,-6.3639,O,0,0,0,0,0,0,0,0,0,0,0,0
9.1720,7.8163,-7.8726,N,0,0,0,0,0,0,0,0,0,0,0,0
9.2620,8.6751,-9.0357,C,0,0,0,0,0,0,0,0,0,0,0,0
10.3191,8.1383,-10.0022,C,0,0,0,0,0,0,0,0,0,0,0,0
10.0972,6.7415,-10.3346,N,0,0,0,0,0,0,0,0,0,0,0,0
8.9636,6.4581,-11.2131,C,0,0,0,0,0,0,0,0,0,0,0,0
9.1394,4.9725,-11.5792,C,0,0,0,0,0,0,0,0,0,0,0,0
10.6570,4.7008,-11.3831,C,0,0,0,0,0,0,0,0,0,0,0,0
11.2326,6.0594,-10.9501,C,0,0,0,0,0,0,0,0,0,0,0,0
7.6595,7.3553,-4.6590,C,0,0,0,0,0,0,0,0,0,0,0,0
4.7199,5.7352,-2.5961,C,0,0,0,0,0,0,0,0,0,0,0,0
4.1319,4.5525,-1.8204,C,0,0,0,0,0,0,0,0,0,0,0,0
-1.9383,2.7655,-3.1931,H,0,0,0,0,0,0,0,0,0,0,0,0
-0.8195,3.3695,-4.4453,H,0,0,0,0,0,0,0,0,0,0,0,0
-0.8144,4.0941,-2.8069,H,0,0,0,0,0,0,0,0,0,0,0,0
-0.0074,1.1838,-3.4496,H,0,0,0,0,0,0,0,0,0,0,0,0
0.0266,1.9547,-1.8328,H,0,0,0,0,0,0,0,0,0,0,0,0
3.2476,2.7237,-4.5373,H,0,0,0,0,0,0,0,0,0,0,0,0
4.7875,2.5653,-3.6527,H,0,0,0,0,0,0,0,0,0,0,0,0
3.7318,5.0845,-5.0681,H,0,0,0,0,0,0,0,0,0,0,0,0
5.1522,4.1128,-5.5408,H,0,0,0,0,0,0,0,0,0,0,0,0
8.7733,5.8675,-1.8166,H,0,0,0,0,0,0,0,0,0,0,0,0
8.8087,7.6062,-2.1875,H,0,0,0,0,0,0,0,0,0,0,0,0
10.2310,5.3774,-3.7609,H,0,0,0,0,0,0,0,0,0,0,0,0
11.0123,6.6181,-2.7650,H,0,0,0,0,0,0,0,0,0,0,0,0
11.0915,7.1913,-5.2374,H,0,0,0,0,0,0,0,0,0,0,0,0
10.2357,8.4187,-4.2916,H,0,0,0,0,0,0,0,0,0,0,0,0
8.9266,6.2036,-5.9630,H,0,0,0,0,0,0,0,0,0,0,0,0
9.3372,6.8284,-8.0417,H,0,0,0,0,0,0,0,0,0,0,0,0
9.5202,9.6897,-8.6987,H,0,0,0,0,0,0,0,0,0,0,0,0
8.2818,8.7550,-9.5429,H,0,0,0,0,0,0,0,0,0,0,0,0
11.3078,8.2167,-9.5203,H,0,0,0,0,0,0,0,0,0,0,0,0
10.3473,8.7853,-10.9091,H,0,0,0,0,0,0,0,0,0,0,0,0
9.0024,7.0917,-12.1297,H,0,0,0,0,0,0,0,0,0,0,0,0
8.0039,6.6667,-10.7151,H,0,0,0,0,0,0,0,0,0,0,0,0
8.8010,4.7716,-12.6065,H,0,0,0,0,0,0,0,0,0,0,0,0
8.5419,4.3348,-10.9108,H,0,0,0,0,0,0,0,0,0,0,0,0
11.1449,4.3262,-12.2950,H,0,0,0,0,0,0,0,0,0,0,0,0
10.8152,3.9487,-10.5959,H,0,0,0,0,0,0,0,0,0,0,0,0
11.6064,6.6211,-11.8375,H,0,0,0,0,0,0,0,0,0,0,0,0
12.0718,5.9749,-10.2408,H,0,0,0,0,0,0,0,0,0,0,0,0
6.7541,7.1563,-5.2488,H,0,0,0,0,0,0,0,0,0,0,0,0
7.5898,8.3943,-4.2984,H,0,0,0,0,0,0,0,0,0,0,0,0
3.9152,6.4326,-2.8866,H,0,0,0,0,0,0,0,0,0,0,0,0
5.4354,6.2938,-1.9774,H,0,0,0,0,0,0,0,0,0,0,0,0
3.5010,4.9004,-0.9930,H,0,0,0,0,0,0,0,0,0,0,0,0
4.9580,3.9479,-1.4066,H,0,0,0,0,0,0,0,0,0,0,0,0
